slice_id,service,start_ms,n,delta,prefill_chunk,cache_cap,bucket_budget,admit_window,fcfs_lat,fcfs_ttft,sjf_lat,sjf_ttft,milp_incumbent,milp_bound,milp_gap,milp_status,solve_s,binvars,warm_applied
conv_r0.3_o0_n200,conv,46800000,200,8,2048,60000,4000,193,11764,8062,9011,5309,8371.0,7086.0,0.15350615219209174,Time limit reached,967.9,38800,True
conv_r0.3_o20_n200,conv,48000000,200,8,2048,60000,4000,150,9067,6260,7599,4792,6110.0,5642.0,0.07659574468085106,Time limit reached,939.6,30200,True
conv_r0.6_o0_n200,conv,93600000,200,8,2048,60000,4000,177,13083,9779,9927,6623,7964.0,7058.0,0.11376192867905575,Time limit reached,953.5,35600,True
conv_r0.6_o20_n200,conv,94800000,200,8,2048,60000,4000,150,10287,7490,8910,6113,7005.0,6400.0,0.08636688079942897,Time limit reached,939.5,30200,True
conv_r0.9_o0_n200,conv,144000000,200,8,2048,60000,4000,150,9452,6541,8627,5716,7592.000000011141,6540.0,0.13856691254077944,Time limit reached,938.4,30200,True
conv_r0.9_o20_n200,conv,145200000,200,8,2048,60000,4000,150,7632,5434,7540,5342,6188.999999992877,5629.0,0.09048311520334809,Time limit reached,936.8,30200,True
conv_r0.1_o0_n400,conv,540000000,400,8,2048,60000,4000,309,27549,21731,21535,15717,21535.0,15212.0,0.2936150452751335,Time limit reached,1754.5,124000,True
conv_r0.1_o12_n400,conv,540720000,400,8,2048,60000,4000,309,30051,24161,21180,15290,21180.0,15292.0,0.27799811142587344,Time limit reached,1861.6,124000,True
conv_r0.1_o24_n400,conv,541440000,400,8,2048,60000,4000,333,39160,32948,23529,17317,23529.0,16803.0,0.2858600025500446,Time limit reached,2092.1,133600,True
conv_r0.1_o36_n400,conv,542160000,400,8,2048,60000,4000,302,27575,22226,20447,15098,20447.0,14461.0,0.29275688365041325,Time limit reached,1826.9,121200,True
conv_r0.1_o48_n400,conv,542880000,400,8,2048,60000,4000,292,32771,26860,20687,14776,20687.0,14319.0,0.3078261710252816,Time limit reached,1767.4,117200,True
conv_r0.3_o0_n400,conv,46800000,400,8,2048,60000,4000,391,48062,41227,27918,21083,27918.0,20556.0,0.26370083816892326,Time limit reached,2565.3,156800,True
conv_r0.3_o12_n400,conv,47520000,400,8,2048,60000,4000,409,45416,38837,28045,21466,28045.0,20463.0,0.27035122125155997,Time limit reached,2804.4,164000,True
conv_r0.3_o24_n400,conv,48240000,400,8,2048,60000,4000,329,39403,33416,26788,20801,26788.0,19144.0,0.285351649992534,Time limit reached,2112.8,132000,True
conv_r0.3_o36_n400,conv,48960000,400,8,2048,60000,4000,321,38555,32578,28146,22169,26441.0,19760.0,0.2526757686925608,Time limit reached,2123.8,128800,True
conv_r0.3_o48_n400,conv,49680000,400,8,2048,60000,4000,325,36463,30107,24578,18222,24578.0,17623.0,0.2829766457807796,Time limit reached,2161.0,130400,True
conv_r0.5_o0_n400,conv,190800000,400,8,2048,60000,4000,410,45042,38870,32634,26462,32634.0,22384.0,0.3140895998038855,Time limit reached,2913.6,164400,True
conv_r0.5_o12_n400,conv,191520000,400,8,2048,60000,4000,313,35043,29544,24402,18903,24402.0,16762.0,0.31308909105811,Time limit reached,2019.2,125600,True
conv_r0.5_o24_n400,conv,192240000,400,8,2048,60000,4000,315,37095,31432,29199,23536,27199.0,19448.0,0.2849737122688334,Time limit reached,2018.6,126400,True
conv_r0.5_o36_n400,conv,192960000,400,8,2048,60000,4000,401,42274,35764,33846,27336,33846.0,22785.0,0.3268037581989009,Time limit reached,2873.1,160800,True
conv_r0.5_o48_n400,conv,193680000,400,8,2048,60000,4000,406,47354,40731,34142,27519,34142.0,23327.0,0.3167652744420362,Time limit reached,2849.6,162800,True
conv_r0.7_o0_n400,conv,284400000,400,8,2048,60000,4000,335,39643,33951,33808,28116,30034.0,22985.0,0.2347006725710861,Time limit reached,2121.8,134400,True
conv_r0.7_o12_n400,conv,285120000,400,8,2048,60000,4000,296,32519,27384,25693,20558,24513.0,17168.0,0.29963692734467423,Time limit reached,1853.1,118800,True
conv_r0.7_o24_n400,conv,285840000,400,8,2048,60000,4000,374,44814,38271,35207,28664,32849.0,23322.0,0.2900240494383391,Time limit reached,2517.6,150000,True
conv_r0.7_o36_n400,conv,286560000,400,8,2048,60000,4000,310,37188,31910,32332,27054,32332.0,21152.0,0.3457874551527898,Time limit reached,1893.2,124400,True
conv_r0.7_o48_n400,conv,287280000,400,8,2048,60000,4000,313,35269,29728,29204,23663,29204.0,19783.0,0.3225927955074647,Time limit reached,1888.0,125600,True
conv_r0.9_o0_n400,conv,144000000,400,8,2048,60000,4000,255,34674,29467,28421,23214,24359.0,18629.0,0.2352313313354407,Time limit reached,1470.4,102400,True
conv_r0.9_o12_n400,conv,144720000,400,8,2048,60000,4000,222,28475,24042,25692,21259,25692.0,16959.0,0.3399112564222326,Time limit reached,1296.0,89200,True
conv_r0.9_o24_n400,conv,145440000,400,8,2048,60000,4000,235,35251,30433,26247,21429,26247.0,16922.0,0.3552786985179259,Time limit reached,1371.5,94400,True
conv_r0.9_o36_n400,conv,146160000,400,8,2048,60000,4000,254,39024,33814,30267,25057,30267.0,19710.0,0.3487957181088314,Time limit reached,1446.6,102000,True
conv_r0.9_o48_n400,conv,146880000,400,8,2048,60000,4000,222,26007,21529,24073,19595,20995.0,15744.0,0.25010716837342223,Time limit reached,1311.1,89200,True
code_r0.1_o0_n400,code,464400000,400,8,2048,60000,4000,150,8422,7093,11394,10065,5808.999999999984,5387.0,0.07264589430194264,Time limit reached,1052.3,60400,True
code_r0.1_o12_n400,code,465120000,400,8,2048,60000,4000,188,23256,21285,24231,22260,23256.0,16908.0,0.27296181630546956,Time limit reached,1142.7,75600,True
code_r0.1_o24_n400,code,465840000,400,8,2048,60000,4000,150,5108,3980,6338,5210,3926.999999999998,3156.0,0.19633307868601949,Time limit reached,1042.7,60400,True
code_r0.1_o36_n400,code,466560000,400,8,2048,60000,4000,150,16080,14641,17048,15609,10025.0,9168.0,0.0854862842892768,Time limit reached,1056.5,60400,True
code_r0.1_o48_n400,code,467280000,400,8,2048,60000,4000,164,15341,13967,17575,16201,15341.0,10338.0,0.3261195489211916,Time limit reached,1082.6,66000,True
code_r0.3_o0_n400,code,136800000,400,8,2048,60000,4000,150,10391,8667,11754,10030,8043.0,5546.0,0.31045629740146713,Time limit reached,1059.8,60400,True
code_r0.3_o12_n400,code,137520000,400,8,2048,60000,4000,150,10657,9213,13209,11765,7915.0,6900.0,0.12823752368919772,Time limit reached,1042.0,60400,True
code_r0.3_o24_n400,code,138240000,400,8,2048,60000,4000,276,19431,18356,19288,18213,17183.0,11160.0,0.3505208636442996,Time limit reached,1636.2,110800,True
code_r0.3_o36_n400,code,138960000,400,8,2048,60000,4000,150,12869,11629,13398,12158,12869.0,7971.0,0.38060455357836664,Time limit reached,1054.0,60400,True
code_r0.3_o48_n400,code,139680000,400,8,2048,60000,4000,150,11551,10222,12545,11216,11551.0,7621.0,0.34023028309237296,Time limit reached,1053.8,60400,True
code_r0.5_o0_n400,code,86400000,400,8,2048,60000,4000,383,40014,38644,38274,36904,30736.0,25220.0,0.17946382092660074,Time limit reached,2367.2,153600,True
code_r0.5_o12_n400,code,87120000,400,8,2048,60000,4000,360,30981,29602,30217,28838,24628.999999999873,19200.0,0.22043119899305294,Time limit reached,2196.8,144400,True
code_r0.5_o24_n400,code,87840000,400,8,2048,60000,4000,150,13063,11544,13987,12468,11332.000000000051,7702.0,0.32033180374161974,Time limit reached,1062.0,60400,True
code_r0.5_o36_n400,code,88560000,400,8,2048,60000,4000,237,17241,15922,16133,14814,13400.000000000011,9698.0,0.2762686567164185,Time limit reached,1443.9,95200,True
code_r0.5_o48_n400,code,89280000,400,8,2048,60000,4000,282,21896,20377,21782,20263,16546.000000000102,13216.0,0.20125710141424402,Time limit reached,1883.0,113200,True
code_r0.7_o0_n400,code,514800000,400,8,2048,60000,4000,338,35471,34264,34633,33426,27008.0,22839.0,0.15436167061611375,Time limit reached,2143.9,135600,True
code_r0.7_o12_n400,code,515520000,400,8,2048,60000,4000,211,24774,23508,23204,21938,18091.000000006596,13514.0,0.2529987286498771,Time limit reached,1349.1,84800,True
code_r0.7_o24_n400,code,516240000,400,8,2048,60000,4000,237,28198,26837,27314,25953,22054.999999999756,18259.0,0.1721151666288732,Time limit reached,1506.8,95200,True
code_r0.7_o36_n400,code,516960000,400,8,2048,60000,4000,304,33153,31846,29063,27756,24612.00000000016,20154.0,0.18113115553389122,Time limit reached,2170.3,122000,True
code_r0.7_o48_n400,code,517680000,400,8,2048,60000,4000,303,31947,30698,31548,30299,24108.0,20079.0,0.16712294673967149,Time limit reached,2138.7,121600,True
code_r0.9_o0_n400,code,396000000,400,8,2048,60000,4000,267,31802,30809,31228,30235,25075.999999999993,21631.0,0.13738235763279605,Time limit reached,1836.5,107200,True
code_r0.9_o12_n400,code,396720000,400,8,2048,60000,4000,232,29551,28388,29310,28147,23612.00000000001,20452.0,0.1338302558021349,Time limit reached,1572.1,93200,True
code_r0.9_o24_n400,code,397440000,400,8,2048,60000,4000,327,40507,39055,41365,39913,40507.0,28813.0,0.2886908435579036,Time limit reached,1984.8,131200,True
code_r0.9_o36_n400,code,398160000,400,8,2048,60000,4000,333,42168,40643,41485,39960,31988.000000000004,28529.0,0.10813430036263609,Time limit reached,2101.4,133600,True
code_r0.9_o48_n400,code,398880000,400,8,2048,60000,4000,305,40280,38729,42125,40574,40280.0,28274.0,0.2980635551142006,Time limit reached,2214.8,122400,True
